beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
88.0,auto_scan-2026-08-06_09-33-56,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000070.000mm-yp000050.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,121,6335.0,0.0191,1.0,0,False
88.0,auto_scan-2026-08-06_09-33-56,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000070.000mm-yp000050.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,116,6335.0,0.0183,0.959,0,False
89.0,auto_scan-2026-08-06_09-33-56,y0089.00cm,aug6_axicon3_007-tableyp000890.000mm-gantryxp000065.000mm-yp000040.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,82,9584.9,0.0086,0.529,0,False
89.0,auto_scan-2026-08-06_09-33-56,y0089.00cm,aug6_axicon3_007-tableyp000890.000mm-gantryxp000065.000mm-yp000040.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,80,9584.9,0.0083,0.516,0,False
89.0,auto_scan-2026-08-06_09-33-56,y0089.00cm,aug6_axicon3_007-tableyp000890.000mm-gantryxp000070.000mm-yp000040.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,153,9584.9,0.016,0.987,0,False
89.0,auto_scan-2026-08-06_09-33-56,y0089.00cm,aug6_axicon3_007-tableyp000890.000mm-gantryxp000070.000mm-yp000040.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,155,9584.9,0.0162,1.0,0,False
90.0,auto_scan-2026-08-06_09-33-56,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000065.000mm-yp000030.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,74,9584.9,0.0077,0.413,0,False
90.0,auto_scan-2026-08-06_09-33-56,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000065.000mm-yp000030.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,78,9584.9,0.0081,0.436,0,False
90.0,auto_scan-2026-08-06_09-33-56,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000070.000mm-yp000030.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,179,9584.9,0.0187,1.0,0,False
90.0,auto_scan-2026-08-06_09-33-56,y0090.00cm,aug6_axicon3_007-tableyp000900.000mm-gantryxp000070.000mm-yp000030.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,169,9584.9,0.0176,0.944,0,False
