y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
161.0,0.034562175462247935,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001610.000mm-gantryxp000085.000mm-yp000020.000mm-zm000034.100mm-shot0000.npy,161.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001610.000mm-gantryxp000087.000mm-yp000120.000mm-zm000037.100mm-shot0000.npy
161.0,0.033816014905835495,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001610.000mm-gantryxp000080.000mm-yp000020.000mm-zm000034.100mm-shot0000.npy,161.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001610.000mm-gantryxp000087.000mm-yp000120.000mm-zm000037.100mm-shot0000.npy
161.0,0.031922885107267714,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001610.000mm-gantryxp000085.000mm-yp000020.000mm-zm000038.100mm-shot0000.npy,161.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001610.000mm-gantryxp000087.000mm-yp000120.000mm-zm000037.100mm-shot0000.npy
162.0,0.030129777966609494,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001620.000mm-gantryxp000082.000mm-yp000110.000mm-zm000037.100mm-shot0000.npy,162.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001620.000mm-gantryxp000087.000mm-yp000110.000mm-zm000037.100mm-shot0000.npy
162.0,0.02975547433787481,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001620.000mm-gantryxp000080.000mm-yp000010.000mm-zm000034.100mm-shot0000.npy,162.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001620.000mm-gantryxp000087.000mm-yp000110.000mm-zm000037.100mm-shot0000.npy
162.0,0.02794738883173468,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001620.000mm-gantryxp000085.000mm-yp000010.000mm-zm000034.100mm-shot0000.npy,162.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001620.000mm-gantryxp000087.000mm-yp000110.000mm-zm000037.100mm-shot0000.npy
163.0,0.023725756615716992,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000082.000mm-yp000100.000mm-zm000033.100mm-shot0000.npy,163.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000082.000mm-yp000100.000mm-zm000037.100mm-shot0000.npy
163.0,0.02371496402341321,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000087.000mm-yp000100.000mm-zm000033.100mm-shot0000.npy,163.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000082.000mm-yp000100.000mm-zm000037.100mm-shot0000.npy
163.0,0.02244276313055373,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000087.000mm-yp000100.000mm-zm000037.100mm-shot0000.npy,163.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001630.000mm-gantryxp000082.000mm-yp000100.000mm-zm000037.100mm-shot0000.npy
164.0,0.019701122615036402,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001640.000mm-gantryxp000087.000mm-yp000090.000mm-zm000033.100mm-shot0000.npy,164.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001640.000mm-gantryxp000082.000mm-yp000090.000mm-zm000033.100mm-shot0000.npy
165.0,0.01591902808638386,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001650.000mm-gantryxp000087.000mm-yp000080.000mm-zm000033.100mm-shot0000.npy,165.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001650.000mm-gantryxp000082.000mm-yp000080.000mm-zm000033.100mm-shot0000.npy
166.0,0.012385736630221394,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001660.000mm-gantryxp000087.000mm-yp000070.000mm-zm000033.100mm-shot0000.npy,166.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001660.000mm-gantryxp000082.000mm-yp000070.000mm-zm000033.100mm-shot0000.npy
167.0,0.01056217348108715,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001670.000mm-gantryxp000082.000mm-yp000060.000mm-zm000033.100mm-shot0000.npy,167.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001670.000mm-gantryxp000087.000mm-yp000060.000mm-zm000033.100mm-shot0000.npy
168.0,0.008139812189591802,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001680.000mm-gantryxp000082.000mm-yp000050.000mm-zm000033.100mm-shot0000.npy,168.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001680.000mm-gantryxp000087.000mm-yp000050.000mm-zm000033.100mm-shot0000.npy
169.0,0.006503063543385961,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001690.000mm-gantryxp000082.000mm-yp000040.000mm-zm000033.100mm-shot0000.npy,169.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001690.000mm-gantryxp000087.000mm-yp000040.000mm-zm000033.100mm-shot0000.npy
170.0,0.0051264278001660855,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001700.000mm-gantryxp000082.000mm-yp000030.000mm-zm000033.100mm-shot0000.npy,170.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001700.000mm-gantryxp000087.000mm-yp000030.000mm-zm000033.100mm-shot0000.npy
171.0,0.004312235117584388,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001710.000mm-gantryxp000082.000mm-yp000020.000mm-zm000033.100mm-shot0000.npy,171.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001710.000mm-gantryxp000087.000mm-yp000020.000mm-zm000033.100mm-shot0000.npy
172.0,0.003556884921398762,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001720.000mm-gantryxp000087.000mm-yp000010.000mm-zm000033.100mm-shot0000.npy,172.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001720.000mm-gantryxp000082.000mm-yp000010.000mm-zm000033.100mm-shot0000.npy
