y_cm,exp_us,max_counts,ok,A,rate,kr_dev,kx_dev,ky_dev,kr,kr_err,kx,kx_err,ky,ky_err,kr_vs_ideal_pct,core_um,fwhm_um,rms_over_A,pinned,radial_ok
12.0,54.66203844165765,113,True,86.88790415223583,1.5895474561376588,-0.3704490904465084,-0.02272553211238937,-0.022677402837669836,244.1116407513265,0.00304295403200096,378.9432597113163,0.0012640221444945752,378.9619220880068,0.0010348068812891633,-37.044909044650844,19.702706455115514,9.228236691485018,0.024489650177728795,False,False
12.5,109.3240768833153,167,True,150.40238264459475,1.375748023055557,-0.028984668128074875,-0.022454091093054962,-0.022473591371496737,376.5162471547648,0.005131973038813256,379.04851237887885,0.001189313372861518,379.04095104445247,0.001476671794884649,-2.8984668128074875,12.774110111702608,5.983061865253407,0.024328778352601985,False,True
13.0,128.6165610391945,194,True,167.09676288211173,1.2991854356235728,-0.025529911742910638,-0.02259783556326944,-0.02210758874491614,377.85584691831167,0.0046062880600648256,378.99277471264645,0.0010543579136344419,379.1828704672316,0.0010535114908856074,-2.552991174291064,12.728822484093508,5.961850315067412,0.021705841573052064,False,True
13.5,128.6165610391945,125,True,72.36658066855742,0.5626536744867909,-0.6647394071502507,-0.02215636989491132,-0.021831798458425533,129.99903924824824,0.002189278931547427,379.1639553225112,0.0019955623257000184,379.2898095857633,0.002997689451727306,-66.47394071502507,36.997658042805966,17.328743450927895,0.033215031899060464,False,False
14.0,128.6165610391945,115,True,67.3065998054245,0.5233120778661897,-0.6558849823910762,-0.022384638734498585,-0.022368119361019345,133.43238851845146,0.0022992448184640203,379.0754428922717,0.0017325998035535523,379.0818483652891,0.0030745839863179215,-65.58849823910762,36.04567117027142,16.882857490694523,0.033983303061083,False,False
14.5,128.6165610391945,88,True,99.32148075984448,0.772229330012776,-0.022707174606462655,-0.022106513731371624,-0.020779525011825672,378.95037792975404,0.0058042941869087894,379.18328730932683,0.001880781687066505,379.6978340896922,0.0023631267071780905,-2.2707174606462655,12.692057536070239,5.944630566954036,0.0274621492593818,False,True
15.0,257.233122078389,179,True,164.5424265735957,0.6396626734696055,-0.023385869398838577,-0.021326552845261748,-0.020719772642139866,378.6872104927412,0.007085344387030447,379.4857212010754,0.0018853211485280155,379.7210033819312,0.00203968393117438,-2.3385869398838577,12.700877839897878,5.948761768502296,0.03351146609991112,False,True
15.5,350.2314814814814,181,True,174.60711247665432,0.49854773687980625,-0.02517544860327281,-0.02077211088288078,-0.02090541559399217,377.9932918449884,0.009256999870914811,379.7007089567665,0.00242870552853308,379.64901936144474,0.004055181523843796,-2.517544860327281,12.724194063138023,5.959682482735222,0.043644544283862635,False,True
16.0,350.2314814814814,139,True,131.53121456328032,0.37555508718662994,-0.387325776492465,-0.09614267454458625,-0.02069735424826402,237.56761792711129,0.004138256648168969,350.47538074167335,0.003613869070402545,379.7296962308002,0.0054643281116001545,-38.7325776492465,20.24543598141252,9.482437125295261,0.034229430273704786,False,False
16.5,89659.25925925924,172,True,79.96380969389335,0.0008918633764603111,-0.022887165200335735,0.0900540622566437,-0.030686774299348962,378.8805856404834,0.013458408738600278,422.6741342234664,0.06889665044345873,375.85624663074464,0.03675219476962984,-2.2887165200335735,12.694395496326239,5.9457256069002895,0.06367571141612656,False,True
17.0,358637.03703703696,252,True,127.79256094252074,0.0003563283981997749,0.35427101574397146,0.18790396642047802,0.17243384504858894,525.1256326667836,0.01435915776498814,460.615943678932,0.01237644463537618,454.61732362548406,0.018954245755806766,35.42710157439715,9.159065375603081,4.28986867115941,0.053819138461467624,False,True
