run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_14-33-49,y0140.00cm,429.8295454545454,12,2,3.5762786865234375e-05,0.0,0.010540458373725414,13.0
auto_scan-2026-07-29_14-33-49,y0140.50cm,429.8295454545454,12,2,3.7352245271904394e-05,0.0,0.01058559212833643,13.0
auto_scan-2026-07-29_14-33-49,y0141.00cm,342.2800538277511,12,2,3.655751424957998e-05,0.0,0.010608096607029438,13.0
auto_scan-2026-07-29_14-33-49,y0141.50cm,342.2800538277511,12,2,5.4518382967216894e-05,0.0,0.011325436644256115,13.0
auto_scan-2026-07-29_14-33-49,y0142.00cm,342.2800538277511,12,2,3.4809112548828125e-05,0.0,0.010808487422764301,14.0
auto_scan-2026-07-29_14-54-27,y0140.00cm,389.94845360824735,12,2,7.788340008119121e-05,0.0,0.013077457435429096,14.0
auto_scan-2026-07-29_14-54-27,y0146.00cm,389.94845360824735,12,2,3.846486288239248e-05,0.0,0.011360542848706245,14.0
auto_scan-2026-07-29_14-54-27,y0146.50cm,389.94845360824735,12,2,8.757909381529316e-05,0.0,0.013010351918637753,13.0
auto_scan-2026-07-29_14-54-27,y0147.00cm,389.94845360824735,12,2,7.152557373046875e-05,0.0,0.012518627569079399,14.0
auto_scan-2026-07-29_14-54-27,y0147.50cm,389.94845360824735,12,2,7.05718994140625e-05,0.0,0.012157929129898548,13.0
auto_scan-2026-07-29_14-54-27,y0148.00cm,389.94845360824735,12,2,3.751118856598623e-05,0.0,0.010889059863984585,13.0
auto_scan-2026-07-29_14-54-27,y0148.50cm,389.94845360824735,12,2,3.8623809814453125e-05,0.0,0.011155827902257442,14.0
auto_scan-2026-07-29_14-54-27,y0149.00cm,331.4561855670102,12,2,3.687540811370127e-05,0.0,0.01068275049328804,13.0
auto_scan-2026-07-29_14-54-27,y0149.50cm,331.4561855670102,12,2,3.7034351407783106e-05,0.0,0.010896354913711548,13.0
auto_scan-2026-07-29_14-54-27,y0150.00cm,331.4561855670102,12,2,3.782908243010752e-05,0.0,0.010815827175974846,13.0
auto_scan-2026-07-29_14-54-27,y0150.50cm,331.4561855670102,12,2,3.496805948088877e-05,0.0,0.01100522093474865,14.0
auto_scan-2026-07-29_14-54-27,y0151.00cm,331.4561855670102,12,2,3.4332275390625e-05,0.0,0.010786408558487892,13.0
auto_scan-2026-07-29_14-54-27,y0151.50cm,331.4561855670102,12,2,3.910064697265625e-05,0.0,0.011162947863340378,14.0
auto_scan-2026-07-29_14-54-27,y0152.00cm,331.4561855670102,12,2,3.3537548006279394e-05,0.0,0.010852518491446972,14.0
auto_scan-2026-07-29_15-07-43,y0150.00cm,250.0,12,2,3.8305919588310644e-05,0.0,0.010793760418891907,13.0
auto_scan-2026-07-29_15-07-43,y0150.50cm,250.0,12,2,3.846486288239248e-05,0.0,0.01060809101909399,13.0
auto_scan-2026-07-29_15-07-43,y0151.00cm,250.0,12,2,3.5444896639091894e-05,0.0,0.010327188298106194,12.0
auto_scan-2026-07-29_15-07-43,y0151.50cm,250.0,12,2,3.814697265625e-05,0.0,0.01072729006409645,14.0
auto_scan-2026-07-29_15-07-43,y0154.50cm,250.0,12,2,3.3219654142158106e-05,0.0,0.01026544813066721,13.0
auto_scan-2026-07-29_15-07-43,y0155.00cm,250.0,12,2,3.782908243010752e-05,0.0,0.010365587659180164,12.0
auto_scan-2026-07-29_15-07-43,y0155.50cm,250.0,12,2,3.5444896639091894e-05,0.0,0.00983850471675396,12.0
auto_scan-2026-07-29_15-07-43,y0156.00cm,250.0,12,2,3.306071084807627e-05,0.0,0.009910948574543,13.0
auto_scan-2026-07-29_15-07-43,y0156.50cm,250.0,12,2,3.306071084807627e-05,0.0,0.009910947643220425,12.0
auto_scan-2026-07-29_15-20-31,y0156.50cm,250.0,12,2,3.5127002774970606e-05,0.0,0.010555529966950417,13.0
auto_scan-2026-07-29_15-20-31,y0157.00cm,250.0,12,2,3.7352245271904394e-05,0.0,0.010660403408110142,13.0
auto_scan-2026-07-29_15-20-31,y0157.50cm,250.0,12,2,3.401438516448252e-05,0.0,0.010304081253707409,12.0
auto_scan-2026-07-29_15-20-31,y0158.00cm,250.0,12,2,3.4491222322685644e-05,0.0,0.009934970177710056,12.0
auto_scan-2026-07-29_15-20-31,y0158.50cm,250.0,12,2,3.465016561676748e-05,0.0,0.010006703436374664,12.0
auto_scan-2026-07-29_15-20-31,y0159.00cm,250.0,12,2,3.5444896639091894e-05,0.0,0.009982844814658165,12.0
auto_scan-2026-07-29_15-20-31,y0159.50cm,250.0,12,2,3.2583873689873144e-05,0.0,0.009509922005236149,11.0
auto_scan-2026-07-29_15-47-48,y0160.00cm,26313.043478260865,17,2,0.00011142095172544941,0.0,0.017012594267725945,14.0
auto_scan-2026-07-29_15-47-48,y0160.50cm,3289.130434782608,14,2,0.00028673806809820235,0.0,0.01900111697614193,13.0
auto_scan-2026-07-29_15-56-42,y0170.00cm,5403.5714285714275,12,2,0.00017070770263671875,0.0,0.015521998517215252,12.0
auto_scan-2026-07-29_15-56-42,y0182.00cm,505.91606258840153,12,2,3.4491222322685644e-05,0.0,0.009425974451005459,11.0
auto_scan-2026-07-29_16-25-57,y0180.00cm,8000.0,14,2,0.0035305023193359375,0.0,0.060056041926145554,13.0
auto_scan-2026-07-29_16-25-57,y0180.50cm,500.0,8,2,0.02914651297032833,0.0,0.22788874804973602,13.0
auto_scan-2026-07-29_16-25-57,y0181.00cm,500.0,8,2,0.04630057141184807,0.0,0.3362411558628082,13.0
auto_scan-2026-07-29_16-25-57,y0181.50cm,500.0,10,2,5.563100057770498e-05,0.0,0.011609588749706745,13.0
auto_scan-2026-07-29_16-25-57,y0182.00cm,500.0,13,2,4.323323446442373e-05,0.0,0.011304457671940327,14.0
auto_scan-2026-07-29_16-25-57,y0182.50cm,500.0,13,2,4.100799560546875e-05,0.0,0.010845163837075233,13.0
auto_scan-2026-07-29_16-25-57,y0183.00cm,500.0,12,2,3.7988025724189356e-05,0.0,0.010749492794275284,13.0
auto_scan-2026-07-29_16-25-57,y0183.50cm,500.0,12,2,3.751118856598623e-05,0.0,0.01093276310712099,13.0
