beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
72.5,auto_scan-2026-07-30_10-57-31,y0072.50cm,jul30_axicon3_001_070-tableyp000725.000mm-gantryxp000075.000mm-yp000105.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,169,4089.2,0.0413,0.983,0,False
72.5,auto_scan-2026-07-30_10-57-31,y0072.50cm,jul30_axicon3_001_070-tableyp000725.000mm-gantryxp000080.000mm-yp000105.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,172,4089.2,0.0421,1.0,0,False
72.5,auto_scan-2026-07-30_10-57-31,y0072.50cm,jul30_axicon3_001_070-tableyp000725.000mm-gantryxp000080.000mm-yp000105.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,167,4089.2,0.0408,0.971,0,False
73.0,auto_scan-2026-07-30_10-57-31,y0073.00cm,jul30_axicon3_001_070-tableyp000730.000mm-gantryxp000075.000mm-yp000100.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,132,3555.7,0.0371,0.846,0,False
73.0,auto_scan-2026-07-30_10-57-31,y0073.00cm,jul30_axicon3_001_070-tableyp000730.000mm-gantryxp000075.000mm-yp000100.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,139,3555.7,0.0391,0.891,0,False
73.0,auto_scan-2026-07-30_10-57-31,y0073.00cm,jul30_axicon3_001_070-tableyp000730.000mm-gantryxp000080.000mm-yp000100.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,138,3555.7,0.0388,0.885,0,False
73.0,auto_scan-2026-07-30_10-57-31,y0073.00cm,jul30_axicon3_001_070-tableyp000730.000mm-gantryxp000080.000mm-yp000100.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,156,3555.7,0.0439,1.0,0,False
73.5,auto_scan-2026-07-30_10-57-31,y0073.50cm,jul30_axicon3_001_070-tableyp000735.000mm-gantryxp000075.000mm-yp000095.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,117,3555.7,0.0329,0.727,0,False
73.5,auto_scan-2026-07-30_10-57-31,y0073.50cm,jul30_axicon3_001_070-tableyp000735.000mm-gantryxp000075.000mm-yp000095.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,141,3555.7,0.0397,0.876,0,False
73.5,auto_scan-2026-07-30_10-57-31,y0073.50cm,jul30_axicon3_001_070-tableyp000735.000mm-gantryxp000080.000mm-yp000095.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,157,3555.7,0.0442,0.975,0,False
73.5,auto_scan-2026-07-30_10-57-31,y0073.50cm,jul30_axicon3_001_070-tableyp000735.000mm-gantryxp000080.000mm-yp000095.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,161,3555.7,0.0453,1.0,0,False
74.0,auto_scan-2026-07-30_10-57-31,y0074.00cm,jul30_axicon3_001_070-tableyp000740.000mm-gantryxp000080.000mm-yp000090.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,161,3555.7,0.0453,0.92,0,False
74.0,auto_scan-2026-07-30_10-57-31,y0074.00cm,jul30_axicon3_001_070-tableyp000740.000mm-gantryxp000080.000mm-yp000090.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,175,3555.7,0.0492,1.0,0,False
