run,slice,n_dark_total,exposure_us,n_dark_used,dark_mean,dark_std
auto_scan-2026-07-29_17-14-37,y0191.50cm,10,402.39361702127655,2.0,3.369649130036123e-05,0.009400674141943455
auto_scan-2026-07-29_17-14-37,y0192.00cm,10,402.39361702127655,2.0,3.560383993317373e-05,0.009634471498429775
auto_scan-2026-07-29_17-14-37,y0192.50cm,10,402.39361702127655,2.0,3.4173328458564356e-05,0.00980617105960846
auto_scan-2026-07-29_17-14-37,y0193.00cm,10,345.9213309961314,2.0,3.6398570955498144e-05,0.009757415391504765
auto_scan-2026-07-29_17-14-37,y0193.50cm,10,345.9213309961314,2.0,4.2120616853935644e-05,0.010140812955796719
auto_scan-2026-07-29_17-14-37,y0194.00cm,10,345.9213309961314,2.0,3.592173379729502e-05,0.009700235910713673
auto_scan-2026-07-29_17-14-37,y0194.50cm,10,345.9213309961314,2.0,3.7352245271904394e-05,0.009934983216226101
auto_scan-2026-07-29_17-14-37,y0195.00cm,10,345.9213309961314,2.0,3.7034351407783106e-05,0.009918972849845886
auto_scan-2026-07-29_17-14-37,y0195.50cm,10,278.3930711686951,2.0,3.7034351407783106e-05,0.010249963030219078
auto_scan-2026-07-29_17-14-37,y0196.00cm,10,278.3930711686951,2.0,3.846486288239248e-05,0.009958948008716106
auto_scan-2026-07-29_17-14-37,y0196.50cm,10,278.3930711686951,2.0,3.5444896639091894e-05,0.010296384803950787
auto_scan-2026-07-29_17-14-37,y0197.00cm,10,278.3930711686951,2.0,3.4173328458564356e-05,0.010062169283628464
auto_scan-2026-07-29_17-14-37,y0197.50cm,10,278.3930711686951,2.0,3.7352245271904394e-05,0.010342584922909737
auto_scan-2026-07-29_17-14-37,y0198.00cm,10,278.3930711686951,2.0,4.00543212890625e-05,0.010350256226956844
auto_scan-2026-07-29_17-14-37,y0198.50cm,10,278.3930711686951,2.0,3.814697265625e-05,0.010426764376461506
auto_scan-2026-07-29_17-14-37,y0199.00cm,10,278.3930711686951,2.0,4.037221151520498e-05,0.01035025529563427
auto_scan-2026-07-29_17-14-37,y0199.50cm,10,278.3930711686951,2.0,3.465016561676748e-05,0.010334908030927181
auto_scan-2026-07-29_17-14-37,y0200.00cm,10,278.3930711686951,2.0,3.528594970703125e-05,0.010396241210401058
auto_scan-2026-07-29_17-14-37,y0200.50cm,10,278.3930711686951,2.0,3.7352245271904394e-05,0.010600623674690723
auto_scan-2026-07-29_17-14-37,y0201.00cm,10,278.3930711686951,2.0,3.465016561676748e-05,0.01036562118679285
auto_scan-2026-08-03_15-31-36,y0173.00cm,12,398.157894736842,2.0,3.5762786865234375e-05,0.008994558826088905
auto_scan-2026-08-03_15-31-36,y0173.50cm,12,398.157894736842,2.0,3.1630199373466894e-05,0.008504075929522514
auto_scan-2026-08-03_15-31-36,y0174.00cm,12,398.157894736842,2.0,3.24249267578125e-05,0.008789002895355225
auto_scan-2026-08-03_15-31-36,y0174.50cm,12,398.157894736842,2.0,3.2901763916015625e-05,0.00877995416522026
