beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
17.0,auto_scan-2026-08-06_18-38-37,y0017.00cm,aug6_telescope_001-tableyp000170.000mm-gantryxp000065.000mm-yp000010.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,156,2162.5,0.0721,0.957,0,False
17.0,auto_scan-2026-08-06_18-38-37,y0017.00cm,aug6_telescope_001-tableyp000170.000mm-gantryxp000065.000mm-yp000010.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,163,2162.5,0.0754,1.0,0,False
17.0,auto_scan-2026-08-06_20-51-45,y0017.00cm,aug6_telescope_001-tableyp000170.000mm-gantryxp000060.000mm-yp000010.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,151,1180.6,0.1279,1.0,0,False
25.0,auto_scan-2026-08-06_20-57-25,y0025.00cm,aug6_telescope_003-tableyp000250.000mm-gantryxp000055.000mm-yp000130.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,255,3219.1,0.0792,1.0,764,False
25.0,auto_scan-2026-08-06_20-57-25,y0025.00cm,aug6_telescope_003-tableyp000250.000mm-gantryxp000055.000mm-yp000130.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,255,3219.1,0.0792,1.0,845,False
25.0,auto_scan-2026-08-06_20-57-25,y0025.00cm,aug6_telescope_003-tableyp000250.000mm-gantryxp000060.000mm-yp000130.000mm-zm000098.100mm-shot0000.npy,60.0,-98.1,142,3219.1,0.0441,0.557,0,False
25.0,auto_scan-2026-08-06_20-57-25,y0025.00cm,aug6_telescope_003-tableyp000250.000mm-gantryxp000060.000mm-yp000130.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,145,3219.1,0.045,0.569,0,False
26.0,auto_scan-2026-08-06_20-57-25,y0026.00cm,aug6_telescope_003-tableyp000260.000mm-gantryxp000055.000mm-yp000120.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,116,804.8,0.1441,1.0,0,False
26.0,auto_scan-2026-08-06_20-57-25,y0026.00cm,aug6_telescope_003-tableyp000260.000mm-gantryxp000055.000mm-yp000120.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,113,804.8,0.1404,0.974,0,False
27.0,auto_scan-2026-08-06_20-57-25,y0027.00cm,aug6_telescope_003-tableyp000270.000mm-gantryxp000055.000mm-yp000110.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,111,804.8,0.1379,0.974,0,False
27.0,auto_scan-2026-08-06_20-57-25,y0027.00cm,aug6_telescope_003-tableyp000270.000mm-gantryxp000055.000mm-yp000110.000mm-zm000102.100mm-shot0000.npy,55.0,-102.1,114,804.8,0.1417,1.0,0,False
28.0,auto_scan-2026-08-06_20-57-25,y0028.00cm,aug6_telescope_003-tableyp000280.000mm-gantryxp000055.000mm-yp000100.000mm-zm000098.100mm-shot0000.npy,55.0,-98.1,108,804.8,0.1342,0.982,0,False
