18,auto_scan-2026-07-23_13-32-02,y0062.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0063.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0063.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0064.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0064.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0065.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0065.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0066.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0066.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0067.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0067.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0068.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0068.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0069.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0069.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0070.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0070.50cm,jul23-004,dark
3,auto_scan-2026-07-23_13-32-02,y0070.50cm,jul23-004-background,background
12,auto_scan-2026-07-23_13-32-02,y0071.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0071.50cm,jul23-004,dark
3,auto_scan-2026-07-23_13-32-02,y0071.50cm,jul23-004-background,background
9,auto_scan-2026-07-23_14-44-37,y0089.50cm,jul23-005-y10,beam
16,auto_scan-2026-07-23_14-44-37,y0089.50cm,jul23-005-y10,dark
3,auto_scan-2026-07-23_14-44-37,y0089.50cm,jul23-005-y10-background,background
8,auto_scan-2026-07-23_15-04-24,y0077.50cm,jul23-005,beam
17,auto_scan-2026-07-23_15-04-24,y0077.50cm,jul23-005,dark
8,auto_scan-2026-07-23_15-04-24,y0078.50cm,jul23-005,beam
17,auto_scan-2026-07-23_15-04-24,y0078.50cm,jul23-005,dark
8,auto_scan-2026-07-23_15-04-24,y0079.50cm,jul23-005,beam
17,auto_scan-2026-07-23_15-04-24,y0079.50cm,jul23-005,dark
